trade_date,symbol,direction,entry_time,exit_time,entry_price,exit_price,qty,pnl,exit_reason,holding_minutes,entry_reason,door,move_age_min,volume_x,off_high_pct,run_up_pct,results_grade,news_kind,sector
2026-09-07,IFCI,LONG,2026-09-07 09:16:01.142512,2026-09-07 09:16:47.000000,107.1,105.24,1144,-2127.8399999999992,MISSED_STOP_RECONCILED,0.7642914666666666,RANKED_SETUP,,,,,,GOOD,,FINANCIAL SERVICES
2026-09-07,NIACL,LONG,2026-09-07 09:16:34.938865,2026-09-07 09:16:45.000000,239.82,237.15,556,-1484.5199999999932,MISSED_STOP_RECONCILED,0.16768558333333333,RANKED_SETUP,,,,,,,,INSURANCE
2026-09-07,SUPRIYA,LONG,2026-09-07 09:16:34.938865,2026-09-07 09:24:11.000000,868.53,912.04,152,6613.519999999999,MISSED_STOP_RECONCILED,7.601018916666666,RANKED_SETUP,,,,,,STRONG,,PHARMACEUTICALS
2026-09-07,BALAMINES,LONG,2026-09-07 09:16:34.938865,2026-09-07 09:46:08.000000,2589.0,2590.8,31,55.80000000000564,BUYING_DRIED_UP,29.551018916666667,RANKED_SETUP,,,,,,GOOD,,CHEMICALS
2026-09-07,SKIPPER,LONG,2026-09-07 09:16:34.938865,2026-09-07 09:47:52.000000,597.94,603.2,233,1225.5799999999979,BUYING_DRIED_UP,31.284352249999998,RANKED_SETUP,,,,,,GOOD,,CAPITAL GOODS
2026-09-07,TEXRAIL,LONG,2026-09-07 09:16:34.938865,2026-09-07 10:06:20.000000,119.42,121.62,1157,2545.4000000000033,BUYING_DRIED_UP,49.751018916666666,RANKED_SETUP,,,,,,,NEWS,CAPITAL GOODS
2026-09-07,GNFC,LONG,2026-09-07 09:16:34.938865,2026-09-07 15:10:59.000000,603.85,596.7,273,-1951.949999999994,MANUAL_EXIT,354.40101891666666,RANKED_SETUP,,,,,,STRONG,,AGRICULTURE & FERTILIZERS
2026-09-07,RVNL,LONG,2026-09-07 09:16:34.938865,2026-09-07 15:11:13.000000,215.56,210.99,888,-4058.159999999994,MANUAL_EXIT,354.63435225,RANKED_SETUP,,,,,,MIXED,ORDER_WIN,INFRASTRUCTURE
2026-09-07,WHEELS,LONG,2026-09-07 09:16:34.938865,2026-09-07 15:11:21.000000,1767.23,1761.12,70,-427.7000000000089,MANUAL_EXIT,354.76768558333333,RANKED_SETUP,,,,,,MIXED,,AUTOMOBILE
2026-09-07,SSWL,LONG,2026-09-07 09:17:17.832420,2026-09-07 10:23:11.000000,374.75,377.21,664,1633.4399999999864,BUYING_DRIED_UP,65.88612633333334,RANKED_SETUP,,,,,,GOOD,,AUTOMOBILE
2026-09-07,KIRIINDUS,LONG,2026-09-07 09:17:25.950542,2026-09-07 10:13:24.000000,588.52,589.46,221,207.74000000001206,BUYING_DRIED_UP,55.96749096666667,RANKED_SETUP,,,,,,MIXED,,CHEMICALS
2026-09-07,INDSWFTLAB,LONG,2026-09-07 09:17:31.021362,2026-09-07 12:52:17.000000,367.5,368.61,222,246.42000000000303,BUYING_DRIED_UP,214.76631063333335,RANKED_SETUP,,,,,,STRONG,,PHARMACEUTICALS
