date,entry_time,symbol,qty,entry,stop,target,why_in,score,change_pct_at_entry,volume_x,turnover_cr,adv_cr,sector,mechanism,high_after_entry,low_after_entry,exit_time,exit,why_out
2026-08-07,10:35,ENRIN,8,3654.0,3470.8,4020.4,"up 4.0%, sector unknown, 1.6x its normal volume — #ENRIN - Strong Beat Q1 FY27 Metric QoQ Sales 4% oP 18% PAT 18% REVENUE 0-2,485.6 Gr 2,394.1 1,784.6 Jun25 Mar",7.47,3.972228545413155,1.55,1126.9290438,725.7,,"#ENRIN - Strong Beat Q1 FY27 Metric QoQ Sales 4% oP 18% PAT 18% REVENUE 0-2,485.6 Gr 2,394.1 1,784.6 Jun25 Mar26 Siemens Ener.Ind Electrical Equipment | Heavy Electrical Equipment FinAl Rating : Stron",3719.0,3627.6,12:31,3699.6,NEVER EXITED -- valued at the last recorded candle of the session
2026-08-07,10:35,COSMOFIRST,30,920.65,872.1,1017.75,"up 4.2%, sector unknown, 1.5x its normal volume — reported results yesterday -- Outcome of Board Meeting COSMO FIRST LIMITED has submitted to the Exch",5.97,4.181283240918856,1.51,39.436779269999995,26.1,,reported results yesterday -- Outcome of Board Meeting COSMO FIRST LIMITED has submitted to the Exch,927.85,905.1,12:31,907.25,NEVER EXITED -- valued at the last recorded candle of the session
2026-08-07,11:50,PGEL,48,633.5,602.45,695.6,"up 2.9%, sector unknown, 1.7x its normal volume — reported results yesterday -- Outcome of Board Meeting PG Electroplast Limited has submitted to the",6.53,2.924451665312754,1.73,448.0103131,259.7,,reported results yesterday -- Outcome of Board Meeting PG Electroplast Limited has submitted to the,633.5,625.25,12:31,630.5,NEVER EXITED -- valued at the last recorded candle of the session
2026-08-07,12:10,LLOYDSENGG,263,96.69,91.0,108.07,"up 6.3%, sector unknown, 1.7x its normal volume — reported results yesterday -- Outcome of Board Meeting LLOYDS ENGINEERING WORKS LIMITED has submitte",6.35,6.25274725274725,1.66,424.314608718,255.4,,reported results yesterday -- Outcome of Board Meeting LLOYDS ENGINEERING WORKS LIMITED has submitte,96.85,96.03,12:32,96.41,NEVER EXITED -- valued at the last recorded candle of the session
2026-08-10,10:00,RAMCOCEM,31,972.6,925.15,1067.5,"up 5.1%, sector unknown, 1.5x its normal volume — #EarningsWithETNOW RAMCO CEMENTS Q1 Eons EARNINGS REPORT CARD Revenue 2,273 cr 2,074 cr A 9.6% EBITDA %305 cr",6.15,5.128898016537864,1.5,67.64063412,45.0,,"#EarningsWithETNOW RAMCO CEMENTS Q1 Eons EARNINGS REPORT CARD Revenue 2,273 cr 2,074 cr A 9.6% EBITDA %305 cr %396 cr W 23.0% EBITDA Margin 13.4% 19.1% V 570 bps Follow us on 5X9 Getnowiive",983.45,950.65,13:43,955.1,NEVER EXITED -- valued at the last recorded candle of the session
2026-08-10,10:55,ENTERO,19,1386.9,1310.0,1540.7,"up 3.9%, sector unknown, 2.1x its normal volume — ENTERO HEALTHCARE Q1 CONS EARNINGS REPORT CARD Metric QUFY27 QUFY26 Revenue %1,940 cr | 140ser | A 38.3% EBITD",7.6,3.8876404494382086,2.08,131.66493543,63.2,,"ENTERO HEALTHCARE Q1 CONS EARNINGS REPORT CARD Metric QUFY27 QUFY26 Revenue %1,940 cr | 140ser | A 38.3% EBITDA 96 cr 48 cr A 97.3% EBITDA Margin 5.0% 3.5% A 150 bps Follow us on 5X9 Getnowiive",1386.8,1324.0,13:43,1326.0,NEVER EXITED -- valued at the last recorded candle of the session
2026-08-10,11:40,AKUMS,37,748.5,708.9,827.7,"up 4.7%, sector unknown, 1.5x its normal volume — reported results 2 sessions ago -- Outcome of Board Meeting Akums Drugs and Pharmaceuticals Limited has s",6.03,4.685314685314685,1.53,92.59730925,60.5,,reported results 2 sessions ago -- Outcome of Board Meeting Akums Drugs and Pharmaceuticals Limited has s,756.35,730.1,13:43,730.65,NEVER EXITED -- valued at the last recorded candle of the session
2026-08-10,11:45,BEML,14,1884.0,1778.5,2095.0,"up 5.1%, sector unknown, 1.6x its normal volume — e Rail & Metro Orders To Be Finalised In Q3 e Have Quite A Few Defence & Export Orders Coming Up e Have 6 Big",6.38,5.122196183461664,1.59,293.6389212,184.4,,e Rail & Metro Orders To Be Finalised In Q3 e Have Quite A Few Defence & Export Orders Coming Up e Have 6 Big Rail Tenders tase eeeeeweeeaccceresess:: Coming Up SHANTANU ROY e Sitting On Order Prospec,1912.0,1860.6,13:43,1868.2,NEVER EXITED -- valued at the last recorded candle of the session
2026-08-10,12:00,KAYNES,7,3754.0,3545.5,4171.0,"up 4.9%, sector unknown, 1.5x its normal volume — KAYNES TECHNOLOGY Q1 eens EARNINGS REPORT CARD Financial Metric | Q1FY27 Q1FY26 YoY Change Profit %56Cr %74 Cr",6.17,4.8720527433232785,1.51,1094.1509758,725.3,,KAYNES TECHNOLOGY Q1 eens EARNINGS REPORT CARD Financial Metric | Q1FY27 Q1FY26 YoY Change Profit %56Cr %74 Cr Vi 24.3% EBITDA Margin 15.5% 16.6% wv 11% Follow us on 5X9 Getnowive,3761.2,3700.0,13:43,3720.5,NEVER EXITED -- valued at the last recorded candle of the session
2026-08-11,09:55,GLAND,12,2932.7,2815.0,3168.1,"up 2.9%, sector unknown, 1.5x its normal volume — reported results yesterday -- Outcome of Board Meeting Gland Pharma Limited has submitted to the Exc",6.0,2.901754385964906,1.52,919.87214835,603.9,,reported results yesterday -- Outcome of Board Meeting Gland Pharma Limited has submitted to the Exc,2941.5,2836.0,15:27,2922.9,NEVER EXITED -- valued at the last recorded candle of the session
2026-08-11,10:00,INDSWFTLAB,91,276.34,259.97,309.08,"up 5.4%, sector unknown, 2.7x its normal volume — reported results yesterday -- Outcome of Board Meeting Ind-Swift Laboratories Limited has submitted",9.03,5.445110085091763,2.73,162.99423014799999,59.6,,reported results yesterday -- Outcome of Board Meeting Ind-Swift Laboratories Limited has submitted,284.68,273.65,15:25,284.68,NEVER EXITED -- valued at the last recorded candle of the session
2026-08-11,10:10,KPRMILL,27,1148.7,1093.5,1259.1,"up 4.9%, sector unknown, 1.5x its normal volume — reported results yesterday -- Outcome of Board Meeting we wish to inform you that the Board of Direc",6.05,4.856230031948886,1.54,93.61525929000001,60.7,,reported results yesterday -- Outcome of Board Meeting we wish to inform you that the Board of Direc,1150.3,1092.1,15:12,1093.5,HARD STOP -- price traded down through the seed stop
2026-08-11,11:35,ARE&M,26,959.15,903.0,1071.45,"up 6.2%, sector unknown, 1.7x its normal volume — reported results yesterday -- Outcome of Board Meeting Amara Raja Energy & Mobility Limited has subm",6.45,6.21816168327796,1.7,408.480404125,240.7,,reported results yesterday -- Outcome of Board Meeting Amara Raja Energy & Mobility Limited has subm,974.0,957.65,15:27,965.4,NEVER EXITED -- valued at the last recorded candle of the session
2026-08-11,12:10,POLYMED,21,1865.3,1794.0,2007.9,"up 4.0%, sector unknown, 1.5x its normal volume — reported results 4 sessions ago -- Outcome of Board Meeting Poly Medicure Limited has informed the outcom",5.95,3.9743589743589722,1.5,117.15277792,78.0,,reported results 4 sessions ago -- Outcome of Board Meeting Poly Medicure Limited has informed the outcom,1884.9,1852.0,15:27,1863.3,NEVER EXITED -- valued at the last recorded candle of the session
2026-08-11,--,PCJEWELLER,,,,,REFUSED AT THE ORDER GATE: Rs 10.34 is below the Rs 50 floor,,,,,,,,,,--,,--
